"pros","cons","advice","rating","organization"
"SMCI has a great, employee-friendly culture. The management truly cares about the employees and their success. They are principled and ethical in their dealings internally as well as with their consultants and clients. The company has a flat organizational structure, so it is straightforward to engage senior management on issues or concerns. I enjoy working here, and many of my fellow employees feel the same way.","IT staffing can be a difficult business, there are lots of ups and downs but this is true of any staffing firm.","You have a great company with a great reputation in the business with your clients and consultants. Consider increasing your online presence beyond just the website to get the word out.","5.0","Software Management Consultants"
"Good entry level administrative position for an internship or out of high-school.","Lots of odd jobs and store runs. But not bad if you don't mind that.",,"3.0","Software Management Consultants"
"They give you the day after Thanksgiving off and a couple of days before Xmas. (Doesn't make up for all the other negative things there)","-Unethical managers and ""top level"" executives. They have NO clue what they're doing other than ""I've been at this company for 20 years""-Commission structure is the biggest joke ever. It's become it's own reputation in the staffing industry-You will not learn anything at this company. The system, their methodology on how they conduct business is a joke-They hire people who like to play politics well and kiss up to managers-They don't like to hear the truth, nor are they willing to do anything about it-They have their own staff write 5 star reviews on Glassdoor","Change everything about how your company is being run. It's dated and sucks.","1.0","Software Management Consultants"
"Individual office and had a good boss who want micromanaging","The Management is discriminating, they are no Gadhi's like they claim to be. Lots of favoritism and stuck in old systems and processes.There is no 'breaking the ice' with top management there and the most of the Account Managers (so called 'Achievers') do nothing except talking well.","Learn. Listen to what the employees are talking about you! That’s the only way forward. Dont talk about Robert Half and Randstad when you are moving in the same direction with the way you treat your employees.Don’t be pissed that your employees because they write bad reviews in Glassdoor and don’t persuade them to write good ones. That won’t solve your problem.Also, your commission structure is older than time itself and more complicated than rocket science…literally! Know that it’s those people you hire, who can make or break you! The choice is yours! Good luck!","1.0","Software Management Consultants"
"They give you time to ramp up and has a long learning curve and we get cool offices.","They have passive aggressive management who seem very fake. Only 1% of the people make a lot of money while everyone else makes nothing. And there's no incentive for you to work harder since their commission structure is so confusing and horrible. They also love giving you lip service to make you happy and they turn around and do another thing.","Look at all the turnover that has happened in the past year. It should say something about how you guys are ""running"" your company!Incentivize your Recruiters and Sales people to work hard by paying us actual commissionFind better management to run your officesTrain people more since you like to hire people with no recruiting experience","1.0","Software Management Consultants"
"Great benefits and pay, best team members all the way up to C-level, VP's and Managerial. This environment makes you want to work hard on your own volition with the perfect work-life balance and flexibility to maintain the fire of recruiting and staffing. Everyone here has had longevity with the company. SMCI will give you growth opportunities and flexibility to help you succeed.","Truly none so far in my experience here.","I value the open-door and honest policy which makes this company one-of-a-kind. Glad to have found an organization that cares about their employees, delivers on every promise. This company is unique with its thorough process.","5.0","Software Management Consultants"
"SMCI pays well, has a great work culture and treats both clients and consultants they way they should be treated. Our management goes above and beyond to do the right thing for anyone of our clients and consultants and internal employees","none that I can think of.",,"5.0","Software Management Consultants"
"Good pay and benefits and a Great working environment. I work in the corporate office working directly for upper management and I am treated with a great deal of respect and have been provided with a very flexible schedule which is nearly priceless. I also enjoy working with my fellow co-workers and we all get along which also makes it a much more positive experience.","It is still a job.",,"5.0","Software Management Consultants"
"Account managers are very good when they need you and want to place you","Once you're placed, you're on your own. Anything you bring up with the account managers are brushed under the rug and ignored. They only care about their relationship with the client and not their employees","Provide better HR training for your account managers","1.0","Software Management Consultants"
"The Glendale office is respectful and very helpful and they know what they're doing.","Very rude and unprofessional office management. Thinks more about money then the people that work in the office. Often speaks down to staff on regular occasions. More people will leave the company if the actions of the management is not corrected",,"1.0","Software Management Consultants"
"It is refreshing to work for a company that stands behind its employees and provides an environment that allows individuals to have a voice in the IT recruiting industry. They really make great effort to respect both client and candidates. The staff is very committed to providing a great experience to the end user of services.","I have enjoyed working for this company and cant think of any thing to add here that would be worth listing.","Keep doing what you are doing, in creating an environment that allows employees to feel empowered.","5.0","Software Management Consultants"
"they have cheap medical insurance...","rude management, doesn't care for employees, favoritism, money hungry, tracks each and every activity.","get a life and don't picture as if SMCI is the only staffing company around. There are thousands of companies which are better than SMCI.","2.0","Software Management Consultants"
"Good clients, very transparent system and good training to make sure you are successful in your job. Lots of opportunities to make very good commission.","Sales people are treated differently and get paid a lot more than Recruiters","Pay Recruiters and Sales people equally and put same level of responsibility on both","4.0","Software Management Consultants"
"Supportive Upper Management with Great Morale. Provides Great Company Benefits.","I do not have any cons to discuss.",,"5.0","Software Management Consultants"
"Good view out the windows","When you leave you will get sued. There are hidden cameras and every key stroke is monitored. Beware.","Lots of lip service about values and ethics. Live what you preach","1.0","Software Management Consultants"
"They ok and have great, cheap medical beneifts. Thus, they pay better than they use to because they cant find anyone with a skillset. However, now they are paying too much for people who cant do the job.","Inflexible, rude, incompetent and unprofessional upper management, discrimination occurred on several occasions (several discriminating comments on age, pregnancy, gender and race).Upper management is a disgrace and not looking to make changes but keep old policies. Don’t know how to operate in Bay Area. They think because they are successful in Glendale that they know what they are doing in the Bay. Not sophisticated enough to be successful in SF.","They need to outsource a company to help construct a course of action. Transforming the staff every couple of years is a good strategy. Upper management needs to take a look at themselves even if it doesn’t feel good.","1.0","Software Management Consultants"
"Immediate managers were great and tried as best as they could. No complaints.","Owner of this company and upper management are paranoid and always negative, not to mention elitist. Company is stodgy and stuck the 80's. Outdated and antiquated methods. Everyone that works in the corporate office are unhappy and have low morale. Negative place. Has no culture whatsoever.","Take some management courses on how to treat your employees. Stop thinking that everyone that works there is out to get you. You don't have to beat people down to get them to work harder for you. In fact, it's counter-productive.","1.0","Software Management Consultants"
"Nice staff and professional consultants","Firm supports the client, not the consultants. Need a different win-win approach.No incentives for great performance.",,"3.0","Software Management Consultants"
"No micromanagement. Fair treatment of Employees. Managers are very knowledgeable and accessible.","Most Positions are Contract and can be short term.","None at this time.","5.0","Software Management Consultants"
"Everything is awesome at SMCI","Nothing need improvement at SMCI","nothing needs to be reviewed or improved","5.0","Software Management Consultants"
"Many roles and good companies represented in the mix. Staffing representatives are professional, efficient and good to work with.","As is the case with most contract positions, there are no benefits, but the pay helps absorb the difference. Senior management is less effective than staff, however, there's little if any need to interact at that level.","Account Executive at this location appeared rather afraid and uncomfortable with even the slightest possibility of conflict. Friendly overall, simply not a strong leader.","4.0","Software Management Consultants"
"Good training ground for Account Execs or Recruiters. Very professional environment if you want to wear a suit every day.","Company owner publicly humiliates you group meetings. More women make beelines to ladies room b/c dressing down is so harsh.","Take a chill pill. Your vindication level and tendency to sue everyone is over the top. Toxic work environment.","2.0","Software Management Consultants"
"Good place to get project based consulting assignments with some great clients and the staff is friendly. Pay is reasonable for the roles.","Very limited number of assignments available. One acct exec is challenged in the communications department -may be afraid of having conversations he believes will not be well-received - I can't imagine that's easy being in staffing (perhaps part of the reason they don't have more assignments??). Many of their assignments include NO BENEFITS - so you're on your own even though you're technically a W2 employee.","Good luck! It's a rough time to be in staffing.","3.0","Software Management Consultants"
"Easy and pleasant to work with, professional, solid clients for placement if you're contracting or looking to go contract to perm. They also provide a good assortment of free technical training as a benefit to contractors and employees to allow their assets to continue their education.","Not a huge variety of clients available for positions,","Expand your corporate client base to include smaller businesses - right now it seems that most of your corporate clients are larger companies which provide more stability as a business model for contractor placement, but not a lot of opportunity for variety for contractors who wish to work with you on successive assignments without becoming pigeonholed into one business area or specialty.","4.0","Software Management Consultants"
"The manager I work with is very good at communicating changes and has an open door policy. She looks out for her employees and will help find a position should it be necessary. They also appreciate their employees.","It is contract work, so it has the potential to be unstable. However, I've been in my current position for four years. The medical benefits leave something to be desired. With the economic changes recently, the opportunity for pay raises has been rare.","Overall the experience has been good. If possible it would be nice to have improved medical coverage.","4.0","Software Management Consultants"
"Entrepreneurial, growth-oriented firm here in the US with a global network that is well recognized and extremely professional. Firm values integrity and doesn't tolerate sharp elbows or selfish behavior. Core group of talented partners and associates.","We are an ""underdog"" brand in the US but getting more traction as we bring on some more high profile partners",,"5.0","Odgers Berndtson"
"Amazing team, feels like a family; flexible schedule and holiday getaway discussions, you can take sick days pretty easy when you need them; free fresh fruit and veggies in the office","A small team, lack of performance is easily noticeable; small office, need to be the Jack of all trades, wear different hats and be able to multitask","Keep on moving this direction, keep on promoting smart people and attracting sharp and hardworking employees","5.0","Odgers Berndtson"
"Wide variety of experience.","None. I learnt a lot.",,"5.0","Odgers Berndtson"
"The salary and location are great.","Lack of leadership, organization, communication, morals and accountability, especially from management.",,"1.0","Odgers Berndtson"
"development, challenge, creativity, biggest UK-based firm, regional offices which rivals don't have. trusted brand. solid range of blue chip clients a good culture of openness and transparency, CEO takes time to explain the direction of the business which is a plus.","Not in the magic circle so not always top of clients lists. Ownership model means consistency is a challenge across the international market and there's not a lot of secondment opportunities than you might get elsewhere.",,"4.0","Odgers Berndtson"
"Strong team spirit, engaging senior management, young research crowd have a fairly lively social network.","I haven't found any major downsides - the IT doesn't always work but things are generally good.",,"5.0","Odgers Berndtson"
"Smart, eclectic mix of people make it an interesting place to work. Good social scene. Able to progress but only if you work for it and seize the opportunities on offer","Research is undervalued, the work gets a bit repetitive","Respect your researchers, be more open","5.0","Odgers Berndtson"
"I'm a PA. Nice building (London office), good location, fairly decent benefits although pension a little poor by industry standards.","Really depends on the Practice. Some are relaxed and easy going. Consultants are on top of their assignments. Others are chaos - lacking respect and totally driven by money. Strategic objectives are not filtered down because this is a financially driven environment.","A culture of respect must be promoted and encouraged throughout the company. PAs and researchers should be valued across all Practices.","3.0","Odgers Berndtson"
"strategic human resources perspective, understanding overall business","no carrier opportunities, more of static job environment",,"3.0","Odgers Berndtson"
"Fun company to work for, lovely offices and atmosphere and most people at all levels are very approachable. I learned a lot and it really helped to kick-start my career. If you are interested in developing your career in Search, they are very helpful and encourage this/make development plans for you.","As a PA you are under-valued; focus is all on the fee-earners/partners and the pay is very poor compared to other executive search firms, as a results there was a very high turnover within the support staff. If it wasn't for the poor pay I would have stayed much longer!They are also very inflexible regarding working from home etc which nowadays should be allowed more frequently.","Invest more money and time in your support staff so that they feel valued and appreciated.","3.0","Odgers Berndtson"
"Grow on the job; fantastic portfolio (all industries, all functions). As dedicated executive search professional I gained increased exposure and impacted strategic hiring processes.","Some parnters can add much more value by fully including executive researcher into the overall search process.","Leverage your added valuw to customers by more deploying senior / mature executive searchers.","3.0","Odgers Berndtson"
"Semi-laid back culture, enabling a good work-life balance. Most fee-earners are approachable and non-hierarchical. Staff are very helpful and open. Rewarded for good work but this is dependent on your practice.","Fee-earners are treated as royalty. High turnover of staff, especially support staff. No network with support staff.","Spend more time and effort on the support staff group.","3.0","Odgers Berndtson"
"Some partners really seem to care about nurturing the careers of junior staff (researchers and admin staff) and are open to progressing - from EA to Researcher and so on. Lovely building near Bank station/the city.","The partners get a commission of each assignment they bring in (rather than sharing equally among the partners in the firm as is the case with other exec search firms) so there are a lot of sharp elbows rather than a team/company spirit. That, combined with a lack of leadership (in terms of setting a good example and professionalism) amongst the partners and managerial staff, leads to an unpleasant atmosphere in the office.","Focus more on leadership and setting a good example for junior staff and try to create an inclusive feeling/more of a team spirit rather than the sharp elbows.","1.0","Odgers Berndtson"
"Meritocratic, open culture Lots of opportunities for those that wish to drive their own career.","None - You are given plenty of opportunity for development, you just need to be able to step up and take it.",,"5.0","Odgers Berndtson"
"- Promotes internally, especially if you're involved in executive search and not in an administrative role- Friendly co-workers- Flexible - allows employees to work from home- High retention - Many employees have been at the Toronto firm for over 10 years- Very forgiving leadership - have retained employees that would have been fired at any other company for their performance/attitude- Bonuses- Competitive salaries- Benefits","- Sometimes a little archiac- No casual fridays- Everyone works in silos for the most part- Lack of growth if you're not in executive search- No RRSP matching","Modernize the office some more","5.0","Odgers Berndtson"
"Good work life balance, something important to many of the staff.Remuneration is certainly satisfactory, given the ease of work.","The company has a friendly atmosphere but it seems it's really a veil for the ruthless nature often experienced in the industry.Employees are very competitive with each other and I've witnessed a lot of backstabbing and callousness.",,"1.0","Odgers Berndtson"
"Flexible, friendly, no micro managing","No training or feedback or development opportunities",,"3.0","Odgers Berndtson"
"established brand, representing one of the most successful global executive search entities in the world","Odgers Berndtson works largely on a partnership model, with many of the national businesses independently owned by their management.","Odgers Berndtson is a globally integrated firm with offices in 27 countries and headquarters in London","5.0","Odgers Berndtson"
"Powerful brand, excellent sectoral and functional knowledge","Global coverage is stronger in some industries than others",,"5.0","Odgers Berndtson"
"- Independence and responsibility given to the intern- Variety of projects- Good atmosphere with colleagues- Great opportunity to learn","- Salary very low compared to working hours- Work-life balance can be affected- Work during weekends sometimes- Small sized hence obliged to accept many of the projects regardless of degree of experience in the subject","Decrease rotation of interns. Too much time spent on educating the intern about the project. Be more selective when choosing projects to increase performance and outcome.","4.0","Odgers Berndtson"
"good training and interesting mandates","hierarchical structure and hardly any opportunities for progression",,"2.0","Odgers Berndtson"
"people, work, opportunity, meritocratic, training and development, location, respect, support. every company has its faults but theirs are minimal and part of the charm","very few and none to highlight","keep doing what you are doing","5.0","Odgers Berndtson"
"Since you arrive, even do all the difficulties, because there were no time to teach me the way the used to work, I have to say either you learn fast or you´re out. Makes you be really fast, concisely about the timings,learn to cross any wall to achieve objectives and unconsciously you get to know about thousand companies, professional areas, and what are you really looking for your clients and what your clients really want.","It´s a really tradicional company, which do not have the enough empowerment to teach people, to let them innovate, and look for new ways to do the job easily through new technologies. Nevertheless you work really hard, with tight timings and makes you develop faster as a professional.","Search through the market opportunities, get to know who is who in the different organizations, make a good research and get in contact with people needed to get all the information.","3.0","Odgers Berndtson"
"Professional firm, good breadth of clients, great training","Very regionalized culture. Top down management structure.","Recognize good people and nurture their contribution.","3.0","Odgers Berndtson"
"Great building and good benefits.","Shocking, unprofessional HR team. I was proactively told I was doing an outstanding job, out-shining their expectations then confusingly they suddenly let me go without a real explanation days before my probation, not providing constructive feedback at all. If I had been there over four months I'd have pleaded unfair dismissal.","Don't allow senior colleagues (who have been issued recent disciplinaries themselves) to make decisions such as letting go of good new hires. HR do not have a professional approach and this should be addressed.","1.0","Odgers Berndtson"
"Private Partnership managed from UK","No existing Vertical Practices or Global Target Accounts",,"3.0","Odgers Berndtson"
"Everyone helps each other out. Their Cannon Street building rivals some of the most prestigious banks - bright, airy, glass and wood. Very little office politics. The teams are driven and work hard. Hours are very reasonable (8.30 - 6 as a standard). Training is quite encompassing. Reputation is outstanding. An excellent brand and an outstanding consultant team.","Can be difficult to maintain momentum sometimes - jumps from 100mph to 0, then back to 100 all in one day (quite normal in any business really). Management can overload their researchers; even the most organised individuals find themselves at the end of their rope (again, no surprises for a professional services firm).",,"4.0","Odgers Berndtson"
"International, glamorous looking Set Up, however lack of co-operation of the different regions.","Very arrogant, mainly money driven, competitive, political culture. Lack of teamwork and transparency. Overpromising to clients. Eye opening experience, helped to understand where the bad reputation of Executive Search Companies comes from.",,"1.0","Odgers Berndtson"
"The portfolio of projects is very interesting. You are handed responsability from the 1st day. Amazing team of interns and analysts","Need more senior possitions to manage the projects. Some clients can be especifically troublesome, and support from management is limited",,"4.0","Odgers Berndtson"
"Good colleagues , good culture ,","lack of integration and connection between different branch offfices and access to databases","Promote more connection between offices","4.0","Odgers Berndtson"
"Solid partners can be found to cover just about any location in the world","Does not follow through on what it claims is its interest in being a global firm","Drive integration more aggressively; take industry practices seriously","4.0","Odgers Berndtson"
"Cohisive company culture. Nice, friendly colleagues. Good people. People around are generous.","Doesn't have strong company culture, at least in the region. Not much communication between different practices.","Would be great if can spend more money on training and career development efforts for junior staffs.","3.0","Odgers Berndtson"
"none that I can recall","pyramid scheme only the partner make money - everyone else carries their bags",,"1.0","Odgers Berndtson"
"Great team working, good oportunities to get promoted and good projectstoghether with excellent environment","Hard work for a lot of hours.","The consultancy business is a new subsidiary in Odgers and Berdnston's company. Since their fundation they have done projects in Spain and they are starting to achieve new projects in other markets out of spanish frontier. The human capital is excellent and they are open to incorporations of people willing to work hard to achieve the best results for the client, and that want to develop their carreers.","4.0","Odgers Berndtson"
"Cultural DiversityAmbitionSupport for further growth or balancing work-lifeProfessionalism and enthusiasm of teamTransparency and clarity from senior managementCompetitive and flexibleCreative SolutionsCares about the external network and building longterm relationships","Publicly quoted company and its consequences.","They are doing a great job! They confront issues immediately and openly and keep everybody motivated and engaged. Aiming high and being realistic at the same time.","4.0","Odgers Berndtson"
"man lernt vielguter Berufseinstieggute Leistung wird honoriertauf gleicher Ebene guter Zusammenhalt","wenig Weiterbildungenwenig Teambuildingsehr hierarchisch - Partner - Abwickler - Researchsehr unterschiedliche Arbeitsweisen je nach Partner, keine Einheitlichkeit in Prozessen",,"4.0","Odgers Berndtson"
"Firma internacional, especializada, ofrece una amplia gama de servicios a clientes de todo el mundo. Conseguir que el Mejor Talento dirija y lidere las organizaciones más importantes a nivel mundial.","Honorarios altos en comparación al mercado. Todo se centraliza en la matriz.",,"5.0","Odgers Berndtson"
"It's like working with a family. Everyone is willing to help and get things done in a timely manner. We also bond over special events held throughout the year, so you get to know others outside of your team.You will see your work ethic involve from the first day you start, especially if you are joining the team right out of college. It's fast paced, but adjustable. Upper management is always willing to help you adjust your course of action if needed. They will always make sure you aren't overwhelmed with work. They also are always looking for suggestions and ideas that will benefit your work and the company.We are located closely to Main Street, so there is always something to do whether on your lunch break or even after work.They are also always opportunities to attend events and shows that will help you boost your potential in your position. They encourage learning inside and outside of the office, which is a huge plus for starting position in a company.","Parking, especially during snow stormsFast paced working, if you aren't good at time management",,"4.0","EtQ"
"You can learn a lot and develop skills. The opportunity to interact with customers around the world brings valuable customer service skills and the software teaches a lot about compliance management. The software is great and serves its customers well.","Management cares only about numbers unless you are in the clique - the few employees who have found high favor with the management. Little concern is taken for employee development. They hire for skills and don't develop them. They have a tendency to chew people up and spit them out but don't hesitate to use the person, unethically, until they are ready to drop them. No severance is offered. Only what is legally mandated.","Take better care of your people and listed to their concerns. When someone has been there a long time, give them severance when they are let go. That is a nice gesture for someone getting back into the workforce. If you do t care about your people, tell them that up front. Try out this crazy thing called ethics!","3.0","EtQ"
"Lots of travel for travel lovers.","The pay scale is below mediocre. A lot of what you learn is company specific and is not marketable skills.","re-engineer the etq-script API and its java-docs. Pay better to reduce turnover. Do not underestimate the hidden cost of losing your experienced employees.","3.0","EtQ"
"- Awesome family environment!- Everyone works hard but also takes time to have some fun- First year for Summer Flextime- Executive Management Team always available and very approachable- Management always willing to listen to new ideas/suggestions- Growing successful company (very quickly)- Customers include several well known profitable companies in many different industries","- Parking at the Farmingdale location can be challenging.- If you are not a hard worker and/or enjoy fast paced work environments, this is not the company for you. You need to be able to adjust quickly to changing priorities at a moments notice.",,"4.0","EtQ"
"* Flexible working hours* Discretion over how you handle your clients* Many things to learn* Fast growing company","* Salary is not too good","* Need to increase the benefits for employees","4.0","EtQ"
"Co-workers were great people, software you work on is pretty good but bugs go years without being fixed while development pumps out more bug filled features.","Salary is not great, and it doesn't really improve much with experience. Benefits are great either. Lack of communication from management.","Fix the software before adding new features, rewards employees that put in the effort.","2.0","EtQ"
"This company doesnt really have any pro's. All the good reviews are fake reviews written by HR or other obedient disciples of sr. management or by those with no self-esteem. The only pro I would add is holiday party with open bar where everyone likes to get drunk, not feel the pain of working in this company and smile.","The cons are a mile long but here are few:1. ZERO work-life balance: Everyone in services department ends up work minimum of 12 hours a day with few working till midnight.2. Management only cares for utilization: Management has been pushing for certain amount of utilization which is not practical for 95% of the employees, rest 5% achieve while working on projects in Europe and become the star of services team. Due to this every employee ends up losing yearly bonus which has been a joke for last few years.3. Bad salary: Janitor of the building where headquarter is located has a better annual income than Implementation consultants(IC) even after working less hours. Management comes up with a bluff of a plan once in a while to increase salary to market rate but it never happens. Everyone in our department is paid a salary from 80's with promotion plan as a joke and annual salary hike which would only makes us ashamed of yourself.4. Yearly bonus- Management makes you work hard throughout the year on a promise of 10% annual performance bonus but ends up paying no more than half of it because they are bunch of thief's and like to steal from its own employees.5. High turnover- In just one year 10+ Tech IC’s/IC’s and 4 Sr.IC’s have left EtQ. This has become a trend and talented people who had been here for 5+ years are leaving after being sick and tired of work culture at EtQ.6. No respect for employees or their ideas- Individual views don’t matter at EtQ. Voices and concerns are heard, plans are made but no action is ever taken. Owners of this company are talented orators who cannot walk the talk. Not even a single services employee has any motivation left to work in this company and aggressively looking for better job opportunities.","No point in giving advice to sr. management on this website as they would never understand the meaning of “invest in employees”. Enough feedback has been provided in company’s internal anonymous survey and in person to Sr.IC’s/Managers who got tired of the company and left.","1.0","EtQ"
"EtQ puts its employees first by expecting everyone gives a 100% effort every day. If you like being part of a team that gets things done this is the place for you. Rewards effort and loyalty.","If your looking to put in just the minimal effort you won't like it at EtQ.",,"5.0","EtQ"
"It's a great foot in the door out of college. You get some decent experience with project management and you get to travel which is neat as well. The office is also very friendly and it was a very relaxed atmosphere.","The knowledge you learn technical wise does not really transfer. The knowledge you do get will be as basic as possible but is still semi useful for someone coming out of college but not for someone who is experienced. There is also not much room for growth as although they do have a ""checklist"" system to promote you, even if you get everything done on it there is a waiting list or they just may choose to not promote you for whatever reason. They also pay way below the industry standard but if it's your first job it's something you can deal with.Bottom Line:Great to get experience but definitely not somewhere to form your career.","As a previous reviewer said, you should really try to keep your current employees. The amount of turnover within the company is disgusting, especially when it's at such key positions.","3.0","EtQ"
"Good work atmosphere, good onsite benefits, great coworkers","It's run by a trio of men who run it like the old boy network.","Take up yoga to learn to relax.","3.0","EtQ"
"Great company to work for, wonderful culture always trying to please the employees, they had many activities. My salary was spot-on as far as market value and there is an opportunity after your first year of employment to participate in the company's MBO plan - this is a bonus plan and you can earn between 10% - 20% of your yearly salary (this depends on what mgmt. sets each year) and how much of your MBO you complete. The CEO is the most wonderful person, I think he truly, truly cares about his employees - I found him to be fair and honest - all of the time and consistent - I have to say, it was great working for him.","My particular con (not everyone, but me) was that I had no career path and no opportunity to take my position to a higher level. That is my only con - I thought EtQ was a great place to work and would recommend EtQ highly.","I loved EtQ, my only advice would be, if you have a great, loyal employee, who was great for EtQ, please try and hold onto them - that would work out for EtQ as well as the employee. And, it might be a good idea to not tell an employee that there more than likely will never be a time when you could move up at EtQ.....just sayin.","5.0","EtQ"
"Great people who were always friendly and willing to help. The work was interesting, the pay was great, and there always seemed to be free food some where.","While the work was intersting, there wasn't much of it so there were a lot of slow days. But the worst part was my sudden termination. I was called into a meeting by my manager, who was not even in the office. I met with HR in a conference room and my manager let me go over the phone. No warnings were ever given prior to this meeting. I was never put on any sort of corrective action, and when asked, no specfic details were given as to the reason behind this decision, which tends to make me believe it wasn't his decision, but rather someone in upper management. This happened on a Monday, and I wasn't even allowed to finish the week. It was a huge slap in the face by people I was starting to trust. My warning for anyone considering working for this company, be prepared for your job to end any day without reason or notice, as this was what happened to me. Maybe this is something they will change, but right now, it left me extremely dissatisfied with this company.","If you're planning on terminating someone's career, have the decency to let them know that their job is in jeopardy so that they have the chance to improve. And, if you ultimately reach the decision to end their career, be professional enough to do it in person, instead of waiting until you're out of the office so you can hide behind the phone. Also, letting them finish out the week, or waiting until a Friday might have been a nice thing to do as well.","2.0","EtQ"
"People - everyone in the professional services department is miserable so there are people to relate to","Pay - The pay is way below industry standards. Now they start you off at 60k and then you will get increments of 1-3 % every year. So at the end of 5 years you are probably earning 65k. They winPromotions - there are 3 levels in the services department - TIC, IC, SIC, once an employee comes in as TIC it takes about 2 years (usually almost always more) to move to IC then another 2 (usually never) to move to SIC after that there isn't anything else. you will hit the ceiling, and through all this you are just getting 1-3% pay bumpsManagement - Cant say much because I never knew or interacted with them, but they are quick to throw you under the bus once sh@*t hits the fan.Location - Horrible office space, it looks like a run down building.Cliquey - if you are not part of a clique things wont go your way","Do better","1.0","EtQ"
"Great work life balance, opportunity for growth","Should improve on the benefits",,"4.0","EtQ"
"- Average/Above Average Salary for rather Basic Technical Positions- Relaxed Environment- Room to Grow as it is a relatively small Company- Travel 20% of the year","- Politics as always- Travel 20% of the Year- Salary Cap is low","Increase salary cap","4.0","EtQ"
"Helpful colleagues, short organization structure, growth within the company, work-life balance","Not so good increments, Company policies. Since the company is growing at a fast pace, its loosing its small company feeling.","Please make the company policies more employee friendly.","3.0","EtQ"
"Relaxed Work Culture and visibility","Pay not competitivePoor benefits packagePoor increments/bonusNo specialized skills learnt",,"3.0","EtQ"
"Great work culture, Colleagues are more than willing to help you in the beginning. opportunities to learn a lot within a short space of time.","Resource Management can probably be done in a better manner. Salaries could be paid as per industry standards","N/A","3.0","EtQ"
"Reliance Software product is a good product.","Company uses bait and switch techniques.","Unfortunately management isn't interested in listening to any advice. Like many small companies they succeed despite themselves.","2.0","EtQ"
"Good work environment. Nice people to work woth","Low salary, benefits aren't great.","Need to increase the base salary.","3.0","EtQ"
"A perfect software application !","Sales is considered a necessary evil!","Change the culture!","2.0","EtQ"
"Relaxed atmosphere, helpful colleagues and good work life balance","Below par compensation package compared to the industry standards",,"2.0","EtQ"
"Great work atmosphere.Good Compensation/BonusesCaring, helpful managers - career paths in place for many positions.Employee friendly.Casual Dress.Many perks - bagel Fridays, Mr. Softee in the summer, holiday party, summer BBQ etc....Company continually keeps employees informed of the ""state of the company"" - employees are not in the dark.Open door policy.","I do not have any Cons to share.",,"5.0","EtQ"
"Caring, informative, Senior Management Team - keeps employees informed about the state of the company. Employee friendly, always looking to do the right thing for the employee. Generous benefits and compensation package. Company plans many fun events throughout the year for its employees - casual dress code.","I have no CONS to say about EtQ.","I cannot offer any advice, since I feel EtQ management does a great job. I have worked at two other companies prior to EtQ and I have to say EtQ far surpasses either one of them when it comes to how they treat their employees.","5.0","EtQ"
"EtQ is a industry leading software company that prides itself in creating a great product and exceptional work environment. Some of the factors the makes EtQ an enjoyable and satisfying place to work include:Great work atmosphere.Friendly and knowledgeable co-workers.Superior growth opportunity.Exposure to different departments.Supportive management team.","None - enjoyable and stimulating workplace.",,"5.0","EtQ"
"lax management , a lot of friendly coworkers.Good place to start out, but don't stick around too long.Cozy small company atmosphere, you're not a number","This company mainly operates on getting talented people, paying them little with promises of greater things if they work really hard. And then you'll find yourself working really hard year after year with little reward, only to see the CEO buy himself a bigger yacht or the CTO take longer and more lavish vacations.","Reward those that provide solid work for your company.Don't try to keep good employees down. If you want to keep good employees at least pay average market value.","3.0","EtQ"
"Small closely knit team. Great business model and helpful co-workers. Very supportive environment for career growth and opportunities to move up the ladder quickly.","Mid level management don't always do their job.",,"4.0","EtQ"
"Flexibility is greatVery relaxed environmentSmall office whee your not just a statisticCasual clothing everyday which is a perk, dont have to worry about suits.","Have to negotiate initially for your salary or else you will be low balledDivision of projects aren't effectiveClicks in the officelittle responsibility as a new employee",,"3.0","EtQ"
"Good salary and benefitsGreat training for techiesOpportunity to travel and work in difference countriesCompany in growth.","No cons, positive work environment with lots of opportunities.","Keep doing what you are doing!","5.0","EtQ"
"If you are looking for an excellent experience in testing life cycle and procedure, this is the best place for that","Salary raises policies are not as good as you expect",,"5.0","EtQ"
"A very solid experience in many areas, opportunity to work with some of the largest organizations in the world.Special focused experience in the LS industry, Validation, 21CFR part 11 experience.","Very busy company, just make sure you are up for the challenge to work smart and work hard and you will be rewarded.","Many great incentives have been already made, don't stop and continue to think of more ways to make employees partners.","5.0","EtQ"
"Part of a multinational companyGood exposure to internal practices","Very little senior support in Ireland . No senior support based at the Irish office.","Place a senior IC at the Irish office fast before all staff leave","3.0","EtQ"
"Great working environment, coworkers are very helpful and friendly.","Cheap management, experienced employees are not recognized, horrible turnover which leads to a lot of training of new people and not enough knowledgeable people around. Office is in a rundown building with disgusting facilities. Pay raises are a joke. Experience is hard to explain to prospective employee.","Stop bragging about record growth, it only makes your underpaid employees feel even less appreciated. Value your more experienced employees.","2.0","EtQ"
"Good product good application engineers, loyal clients","Product is solid but overall lack of experience in key areas (Marketing, Development, Service and Sale management) Tendency to behave like a small company and not invoke experience from the outside. Small click's of employees who control more than their experience warrants. Poor sales culture and lack of team environment.","Get out of your own way.","2.0","EtQ"
