"id"|"team"|"manager"|"jobTasksSDSA"|"jobBalanceSDSA"|"jobPaySDSA"|"jobRecognitionSDSA"|"jobAdvancementSDSA"|"jobCoworkersSDSA"|"jobManagementSDSA"|"salary"|"tenure"
"456"|"K825B"|"Ethics"|"W7742X"|"5"|"6"|"6"|"7"|"6"|"7"|NA|"69642"|"2"
"457"|"Q902X"|"R&D"|"X3607X"|"1"|"6"|"3"|"3"|"3"|"7"|"7"|"49555"|"4"
"458"|"R809N"|"Finance"|"Z7298V"|"4"|"6"|"6"|"6"|"5"|"7"|"7"|"68679"|"8"
"459"|"K441M"|"Finance"|"Y9641W"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"100252"|"9"
"460"|"U503L"|"Health"|"Z4101Z"|"1"|"2"|"2"|"2"|"3"|"3"|"4"|"56821"|"5"
"461"|"R981H"|"Finance"|"Z7298V"|"1"|"3"|"4"|"3"|"2"|"5"|"5"|"54145"|"3"
"462"|"B935Q"|"Health"|"V7487V"|"7"|"2"|"7"|"7"|"7"|"4"|"3"|"136312"|"0"
"463"|"K698B"|"Health"|"Z4101Z"|"2"|"6"|"4"|"2"|"4"|"7"|"7"|"103964"|"2"
"464"|"T465U"|"Ethics"|"W7742X"|"7"|"3"|"7"|"7"|"7"|"4"|"5"|"52723"|"6"
"465"|"U470P"|"Ethics"|"W2205Z"|"7"|"3"|"7"|"7"|"7"|"4"|"4"|"54988"|"1"
"466"|"W656Q"|"R&D"|"X3607X"|"3"|"3"|"5"|"5"|"5"|"4"|"5"|"146330"|"10"
"467"|"R543Y"|"Health"|"V7487V"|"7"|"4"|"7"|"7"|"7"|"5"|NA|"104098"|"7"
"468"|"Q272O"|"Ethics"|"W2205Z"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"47325"|"7"
"469"|"Y630V"|"Ethics"|"X8022Z"|"4"|"3"|"6"|"6"|"5"|"5"|"5"|"54812"|"0"
"470"|"W266V"|"Finance"|"Y4468Y"|"5"|"6"|"6"|"6"|"6"|"7"|"7"|"59464"|"5"
"471"|"Z526L"|"DSI"|"V8472W"|"6"|"3"|"7"|"7"|"7"|"5"|"5"|"51703"|"6"
"472"|"W408G"|"R&D"|"X3607X"|"2"|"3"|"4"|"4"|"3"|"4"|"5"|"56604"|"5"
"473"|"F182X"|"Health"|"W8102W"|"4"|"7"|"6"|"6"|"6"|"7"|"7"|"56445"|"5"
"474"|"F895Q"|"R&D"|"X8066X"|"2"|"3"|"3"|"3"|"4"|"4"|"6"|"72991"|"9"
"475"|"S159E"|"R&D"|"X3607X"|"1"|"2"|"2"|"2"|"4"|"3"|"4"|"59568"|"1"
"476"|"T563N"|"Finance"|"Y4468Y"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"68968"|"10"
"477"|"B236E"|"Finance"|"Z7298V"|"5"|"7"|"7"|"6"|"7"|"7"|NA|"114624"|"1"
"478"|"A163W"|"Health"|"V7487V"|"5"|"5"|"6"|"7"|"6"|"7"|"7"|"57934"|"0"
"479"|"L817N"|"Finance"|"Y9641W"|"7"|"3"|"7"|"7"|"7"|"4"|NA|"51124"|"3"
"480"|"U125Q"|"Finance"|"X7645X"|"6"|"2"|"7"|"7"|"7"|"4"|NA|"58348"|"4"
"481"|"Y763L"|"Finance"|"Y7685W"|"3"|"4"|"5"|"5"|"4"|"6"|"5"|"54022"|"3"
"482"|"R175O"|"R&D"|"Z2464Y"|"2"|"2"|"4"|"3"|"3"|"4"|"3"|"50763"|"1"
"483"|"G646F"|"Health"|"Z4101Z"|"1"|"5"|"3"|"2"|"1"|"7"|"7"|"67682"|"9"
"484"|"Q127D"|"Finance"|"Y4468Y"|"4"|"5"|"6"|"5"|"5"|"6"|"7"|"53475"|"7"
"485"|"K940S"|"Finance"|"X7645X"|"1"|"7"|"3"|"3"|"3"|"7"|"7"|"59874"|"4"
"486"|"E299D"|"R&D"|"X3607X"|"3"|"2"|"3"|"5"|"5"|"2"|"3"|"53982"|"0"
"487"|"A105D"|"Health"|"W8102W"|"3"|"4"|"5"|"4"|"5"|"6"|"6"|"47779"|"3"
"488"|"X567M"|"R&D"|"Y3553W"|"6"|"5"|"7"|"7"|"7"|"7"|"6"|"46251"|"2"
"489"|"V164R"|"R&D"|"V4497X"|"3"|"5"|"5"|"4"|"4"|"6"|NA|"78052"|"10"
"490"|"C616W"|"Health"|"V7487V"|"6"|"2"|"7"|"7"|"7"|"3"|"3"|"90662"|"6"
"491"|"J407V"|"R&D"|"Y3553W"|"4"|"5"|"6"|"5"|"6"|"6"|NA|"57061"|"6"
"492"|"G413K"|"Finance"|"Y9641W"|"6"|"4"|"7"|"7"|"7"|"6"|NA|"68268"|"7"
"493"|"L937D"|"Ethics"|"X8022Z"|"1"|"6"|"3"|"3"|"2"|"7"|"7"|"75650"|"8"
"494"|"F419N"|"Health"|"W8102W"|"7"|"5"|"7"|"7"|"7"|"7"|"6"|"57872"|"7"
"495"|"U821X"|"Health"|"W8102W"|"4"|"6"|"6"|"6"|"5"|"7"|NA|"73371"|"4"
"496"|"F154Z"|"Health"|"Z4101Z"|"7"|"3"|"7"|"7"|"7"|"4"|"4"|"86687"|"4"
"497"|"P345W"|"R&D"|"Y3553W"|"7"|"4"|"7"|"7"|"7"|"5"|"6"|"143340"|"7"
"498"|"P656Z"|"R&D"|"X3607X"|"3"|"4"|"4"|"4"|"5"|"5"|"5"|"53121"|"7"
"499"|"D260N"|"R&D"|"Y3553W"|"6"|"2"|"7"|"7"|"7"|"4"|NA|"88548"|"8"
"500"|"N179Y"|"Health"|"Z4101Z"|"1"|"7"|"3"|"3"|"3"|"7"|"7"|"56627"|"6"
"501"|"M984H"|"R&D"|"Y3553W"|"5"|"7"|"7"|"6"|"6"|"7"|"7"|"105234"|"0"
"502"|"I694M"|"Ethics"|"X8022Z"|"2"|"4"|"3"|"3"|"4"|"5"|"6"|"52751"|"5"
"503"|"Q768Z"|"Ethics"|"X8022Z"|"3"|"7"|"4"|"4"|"4"|"7"|"7"|"104817"|"1"
"504"|"Q842D"|"R&D"|"Y3553W"|"4"|"1"|"5"|"5"|"5"|"2"|"2"|"52048"|"1"
"505"|"L902I"|"R&D"|"V4497X"|"5"|"3"|"7"|"6"|"6"|"4"|"5"|"53885"|"3"
"506"|"J501B"|"R&D"|"V4497X"|"3"|"6"|"5"|"5"|"5"|"7"|"7"|"97253"|"4"
"507"|"C312J"|"R&D"|"X8066X"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"72441"|"8"
"508"|"G578E"|"Health"|"Z4101Z"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"77184"|"10"
"509"|"Q294U"|"R&D"|"Y3553W"|"3"|"7"|"4"|"5"|"4"|"7"|"7"|"94589"|"6"
"510"|"D976R"|"Health"|"V7487V"|"1"|"6"|"3"|"4"|"2"|"7"|"7"|"139380"|"9"
"511"|"U173Y"|"Ethics"|"X8022Z"|"5"|"3"|"7"|"6"|"7"|"5"|"5"|"53563"|"3"
"512"|"I148R"|"R&D"|"X3607X"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"51202"|"7"
"513"|"X910A"|"Ethics"|"W7742X"|"1"|"6"|"2"|"2"|"3"|"7"|"7"|"54226"|"0"
"514"|"P358K"|"Finance"|"Y9641W"|"6"|"2"|"7"|"7"|"7"|"5"|"4"|"54098"|"1"
"515"|"C782M"|"Finance"|"Y7685W"|"1"|"6"|"3"|"2"|"3"|"7"|NA|"160732"|"10"
"516"|"Y914U"|"R&D"|"V4497X"|"4"|"6"|"6"|"5"|"6"|"7"|NA|"111909"|"4"
"517"|"R290N"|"Finance"|"X7645X"|"4"|"7"|"5"|"5"|"5"|"7"|"7"|"170961"|"9"
"518"|"A105O"|"DSI"|"V8472W"|"2"|"1"|"3"|"3"|"4"|"1"|"2"|"73775"|"10"
"519"|"R809M"|"Ethics"|"W7742X"|"6"|"2"|"7"|"7"|"7"|"4"|"4"|"95048"|"0"
"520"|"T881C"|"Finance"|"Y7685W"|"7"|"5"|"7"|"7"|"7"|"7"|NA|"49555"|"7"
"521"|"T434C"|"R&D"|"Z2464Y"|"6"|"3"|"7"|"7"|"7"|"4"|"5"|"77435"|"6"
"522"|"Z307A"|"Health"|"Z4101Z"|"2"|"1"|"4"|"3"|"4"|"4"|"3"|"57149"|"2"
"523"|"A349L"|"Health"|"Z4101Z"|"1"|"7"|"3"|"2"|"2"|"7"|"7"|"58980"|"3"
"524"|"N148B"|"Ethics"|"W7742X"|"2"|"3"|"4"|"3"|"3"|"5"|"4"|"50543"|"6"
"525"|"R466J"|"Finance"|"Z7298V"|"4"|"5"|"5"|"6"|"6"|"6"|"7"|"53385"|"2"
"526"|"V883E"|"R&D"|"Z2464Y"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"98179"|"8"
"527"|"K321B"|"Finance"|"Y9641W"|"6"|"7"|"7"|"6"|"7"|"7"|NA|"49307"|"2"
"528"|"O468M"|"R&D"|"X8066X"|"4"|"7"|"6"|"5"|"5"|"7"|"7"|"97226"|"2"
"529"|"B878Z"|"R&D"|"V4497X"|"1"|"4"|"3"|"3"|"2"|"6"|NA|"122790"|"10"
"530"|"G614F"|"Finance"|"Z7298V"|"7"|"1"|"7"|"7"|"7"|"2"|"3"|"54547"|"2"
"531"|"R282V"|"Finance"|"Z7298V"|"7"|"2"|"7"|"7"|"7"|"3"|"3"|"53940"|"7"
"532"|"P900O"|"Health"|"Z4101Z"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"49914"|"3"
"533"|"M500H"|"R&D"|"Z2464Y"|"7"|"2"|"7"|"7"|"7"|"3"|"4"|"104072"|"3"
"534"|"V745O"|"R&D"|"Z2464Y"|"1"|"4"|"3"|"2"|"3"|"6"|"6"|"124460"|"1"
"535"|"P540C"|"Ethics"|"X8022Z"|"1"|"7"|"3"|"2"|"1"|"7"|"7"|"56781"|"6"
"536"|"R802Q"|"Health"|"W8102W"|"7"|"4"|"7"|"7"|"7"|"5"|"6"|"86791"|"7"
"537"|"R393I"|"R&D"|"Z2464Y"|"4"|"5"|"6"|"5"|"6"|"7"|"6"|"74896"|"10"
"538"|"X283Z"|"Ethics"|"W2205Z"|"5"|"5"|"6"|"7"|"6"|"6"|"6"|"66909"|"9"
"539"|"Y963Y"|"Ethics"|"W2205Z"|"7"|"6"|"7"|"7"|"7"|"7"|NA|"58491"|"4"
"540"|"D281K"|"Ethics"|"W7742X"|"1"|"6"|"3"|"2"|"2"|"7"|"7"|"145824"|"1"
"541"|"Z623G"|"Ethics"|"W2205Z"|"6"|"5"|"7"|"7"|"7"|"6"|NA|"55703"|"5"
"542"|"C417N"|"Finance"|"Y9641W"|"1"|"7"|"4"|"3"|"3"|"7"|"7"|"56502"|"5"
"543"|"P285N"|"Finance"|"Y4468Y"|"1"|"1"|"2"|"2"|"2"|"2"|"3"|"51680"|"7"
"544"|"N862Y"|"R&D"|"Y3553W"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"109655"|"1"
"545"|"C800Z"|"Finance"|"Y7685W"|"5"|"5"|"6"|"6"|"5"|"7"|"6"|"95368"|"10"
"546"|"Y977G"|"DSI"|"V8472W"|"4"|"4"|"6"|"6"|"5"|"4"|"6"|"63511"|"1"
"547"|"N311Y"|"Finance"|"X7645X"|"7"|"4"|"7"|"7"|"7"|"6"|"5"|"54796"|"6"
"548"|"O149W"|"Health"|"V7487V"|"2"|"1"|"3"|"3"|"4"|"2"|"3"|"78694"|"8"
"549"|"L880B"|"DSI"|"V8472W"|"5"|"1"|"6"|"6"|"7"|"2"|"2"|"54298"|"3"
"550"|"L250V"|"R&D"|"Z2464Y"|"3"|"4"|"5"|"5"|"5"|"6"|"5"|"46216"|"3"
"551"|"C316N"|"Ethics"|"W7742X"|"2"|"4"|"5"|"3"|"2"|"5"|"5"|"64998"|"4"
"552"|"Z878V"|"Finance"|"X7645X"|"3"|"5"|"4"|"3"|"4"|"7"|"7"|"121765"|"1"
"553"|"K564D"|"Finance"|"Y4468Y"|"3"|"6"|"4"|"5"|"5"|"7"|"6"|"51231"|"3"
"554"|"S897M"|"Health"|"Z4101Z"|"2"|"2"|"3"|"3"|"3"|"3"|"4"|"72963"|"8"
"555"|"Q246S"|"Health"|"Z4101Z"|"3"|"5"|"5"|"5"|"4"|"7"|"7"|"56464"|"0"
"556"|"W264O"|"Finance"|"Y7685W"|"3"|"5"|"4"|"4"|"5"|"6"|"7"|"77700"|"8"
"557"|"Q138V"|"Ethics"|"W7742X"|"6"|"5"|"7"|"7"|"7"|"7"|"5"|"75372"|"0"
"558"|"E849B"|"R&D"|"Z2464Y"|"7"|"5"|"7"|"7"|"7"|"7"|"6"|"56233"|"0"
"559"|"G396R"|"Ethics"|"W2205Z"|"7"|"2"|"7"|"7"|"7"|"3"|"4"|"53878"|"7"
"560"|"J199A"|"Health"|"V7487V"|"4"|"6"|"5"|"5"|"6"|"7"|"7"|"53801"|"5"
"561"|"S300Z"|"R&D"|"X8066X"|"5"|"4"|"6"|"7"|"7"|"5"|"6"|"149088"|"2"
"562"|"V348H"|"DSI"|"V8472W"|"6"|"3"|"7"|"7"|"7"|"4"|NA|"126874"|"10"
"563"|"H350W"|"Finance"|"Y9641W"|"4"|"1"|"6"|"5"|"5"|"3"|"1"|"57087"|"5"
"564"|"V972D"|"Finance"|"Z7298V"|"7"|"3"|"7"|"7"|"7"|"4"|"4"|"115686"|"9"
"565"|"W840K"|"Ethics"|"W2205Z"|"6"|"4"|"7"|"7"|"7"|"5"|"5"|"65581"|"10"
"566"|"B621W"|"Finance"|"Y9641W"|"6"|"2"|"7"|"7"|"7"|"3"|"4"|"45891"|"0"
"567"|"Z541Z"|"Finance"|"Y4468Y"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"90637"|"6"
"568"|"V214W"|"Finance"|"Y9641W"|"4"|"2"|"5"|"5"|"6"|"4"|"3"|"56868"|"1"
"569"|"D156V"|"Health"|"V7487V"|"7"|"2"|"7"|"7"|"7"|"4"|NA|"76035"|"1"
"570"|"K442V"|"R&D"|"Y3553W"|"1"|"6"|"2"|"2"|"3"|"7"|"7"|"53377"|"5"
"571"|"M821I"|"Health"|"V7487V"|"5"|"5"|"7"|"6"|"6"|"6"|"7"|"45460"|"2"
"572"|"T318S"|"R&D"|"Z2464Y"|"4"|"4"|"6"|"5"|"5"|"6"|"5"|"59522"|"2"
"573"|"N611V"|"R&D"|"Y3553W"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"46243"|"1"
"574"|"A338R"|"R&D"|"V4497X"|"4"|"3"|"5"|"6"|"5"|"4"|"5"|"65996"|"8"
"575"|"K780I"|"R&D"|"X3607X"|"2"|"7"|"3"|"3"|"4"|"7"|"7"|"67517"|"2"
"576"|"N926E"|"Finance"|"Y4468Y"|"6"|"1"|"7"|"7"|"7"|"3"|NA|"54580"|"6"
"577"|"W231T"|"Ethics"|"W2205Z"|"6"|"1"|"7"|"7"|"7"|"3"|"2"|"55957"|"4"
"578"|"A935C"|"Finance"|"Y7685W"|"7"|"4"|"7"|"7"|"7"|"5"|"5"|"133627"|"1"
"579"|"D374A"|"Finance"|"X7645X"|"4"|"5"|"5"|"6"|"6"|"7"|NA|"94730"|"1"
"580"|"M111F"|"R&D"|"Z2464Y"|"2"|"5"|"3"|"4"|"3"|"7"|"6"|"113524"|"1"
"581"|"Y720U"|"R&D"|"V4497X"|"4"|"4"|"6"|"6"|"6"|"5"|"6"|"58125"|"5"
"582"|"V410N"|"R&D"|"Z2464Y"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"165339"|"8"
"583"|"Q320J"|"R&D"|"Y3553W"|"4"|"5"|"5"|"7"|"7"|"6"|"6"|"54012"|"3"
"584"|"Q217F"|"DSI"|"V8472W"|"6"|"3"|"7"|"7"|"7"|"5"|NA|"50932"|"2"
"585"|"Y510J"|"Ethics"|"W7742X"|"6"|"3"|"7"|"6"|"7"|"4"|"5"|"123076"|"0"
"586"|"U268L"|"Finance"|"X7645X"|"3"|"1"|"5"|"5"|"3"|"3"|"3"|"89008"|"7"
"587"|"L835T"|"Finance"|"X7645X"|"4"|"4"|"4"|"6"|"6"|"7"|NA|"93022"|"8"
"588"|"F549M"|"Finance"|"Y9641W"|"6"|"3"|"7"|"7"|"7"|"4"|"4"|"56440"|"3"
"589"|"W607H"|"Finance"|"X7645X"|"5"|"4"|"7"|"7"|"6"|"6"|"5"|"45931"|"7"
"590"|"Y611R"|"R&D"|"X8066X"|"5"|"5"|"6"|"7"|"7"|"6"|"7"|"122300"|"8"
"591"|"Z897S"|"R&D"|"Z2464Y"|"2"|"2"|"3"|"4"|"3"|"3"|"4"|"58823"|"4"
"592"|"P687D"|"Finance"|"Y9641W"|"6"|"3"|"7"|"7"|"7"|"5"|"5"|"58543"|"1"
"593"|"N484X"|"Finance"|"Y9641W"|"2"|"6"|"3"|"3"|"3"|"7"|"7"|"51343"|"4"
"594"|"C386I"|"Ethics"|"X8022Z"|"2"|"5"|"3"|"4"|"3"|"6"|"7"|"69343"|"1"
"595"|"T613A"|"Finance"|"Y7685W"|"3"|"3"|"4"|"4"|"5"|"5"|"5"|"119544"|"4"
"596"|"M579F"|"Finance"|"X7645X"|"6"|"2"|"7"|"7"|"7"|"4"|"3"|"81510"|"6"
"597"|"Y606L"|"Finance"|"Y9641W"|"7"|"5"|"7"|"7"|"7"|"7"|"6"|"53275"|"5"
"598"|"C260D"|"R&D"|"V4497X"|"4"|"3"|"6"|"6"|"5"|"5"|"5"|"81434"|"9"
"599"|"C195K"|"R&D"|"Y3553W"|"5"|"6"|"7"|"6"|"7"|"7"|"7"|"49208"|"1"
"600"|"Q782H"|"Finance"|"Y7685W"|"1"|"6"|"2"|"2"|"3"|"7"|"7"|"46346"|"0"
"601"|"H200C"|"Health"|"V7487V"|"7"|"3"|"7"|"7"|"7"|"4"|"4"|"59021"|"0"
"602"|"E406M"|"Health"|"Z4101Z"|"3"|"3"|"4"|"4"|"4"|"5"|"4"|"74196"|"9"
"603"|"I876Y"|"Health"|"V7487V"|"4"|"5"|"6"|"6"|"6"|"7"|"6"|"69823"|"10"
"604"|"U303N"|"R&D"|"X8066X"|"5"|"5"|"7"|"7"|"7"|"6"|"7"|"49601"|"0"
"605"|"A566U"|"Finance"|"Y4468Y"|"1"|"5"|"3"|"2"|"2"|"6"|"6"|"53132"|"3"
"606"|"R783P"|"Health"|"W8102W"|"1"|"6"|"3"|"3"|"3"|"7"|"7"|"151717"|"10"
"607"|"K680E"|"Health"|"Z4101Z"|"3"|"5"|"4"|"5"|"5"|"7"|"6"|"50648"|"2"
"608"|"D521C"|"DSI"|"V8472W"|"2"|"6"|"3"|"4"|"3"|"7"|"7"|"66875"|"10"
"609"|"M360C"|"Health"|"W8102W"|"7"|"1"|"7"|"7"|"7"|"2"|"2"|"140429"|"4"
"610"|"E448Q"|"Finance"|"Y9641W"|"7"|"4"|"7"|"7"|"7"|"5"|"5"|"56644"|"1"
"611"|"I613B"|"R&D"|"Y3553W"|"4"|"4"|"6"|"6"|"5"|"5"|NA|"107243"|"7"
"612"|"W736M"|"R&D"|"Z2464Y"|"4"|"7"|"6"|"6"|"6"|"7"|"7"|"54268"|"5"
"613"|"D739J"|"R&D"|"X3607X"|"2"|"5"|"4"|"3"|"4"|"6"|"7"|"70926"|"5"
"614"|"T346Y"|"Ethics"|"X8022Z"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"46639"|"7"
"615"|"N665E"|"Ethics"|"X8022Z"|"3"|"1"|"4"|"5"|"4"|"3"|"3"|"63452"|"10"
"616"|"Z970Z"|"Finance"|"Y9641W"|"6"|"1"|"7"|"7"|"7"|"2"|"3"|"53148"|"4"
"617"|"D894Q"|"Finance"|"Y4468Y"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"95934"|"8"
"618"|"N808P"|"Finance"|"X7645X"|"3"|"7"|"4"|"5"|"5"|"7"|"7"|"95430"|"5"
"619"|"M127Q"|"R&D"|"Z2464Y"|"6"|"4"|"7"|"7"|"7"|"6"|"6"|"120911"|"10"
"620"|"I107H"|"Finance"|"Y7685W"|"2"|"1"|"4"|"4"|"3"|"2"|"4"|"76370"|"9"
"621"|"Z535Y"|"R&D"|"X8066X"|"4"|"2"|"6"|"5"|"5"|"3"|"4"|"128886"|"3"
"622"|"E419N"|"Ethics"|"X8022Z"|"6"|"4"|"7"|"7"|"7"|"6"|"6"|"89224"|"6"
"623"|"T164C"|"Finance"|"Y4468Y"|"1"|"2"|"3"|"1"|"3"|"4"|"3"|"70159"|"9"
"624"|"O355B"|"Health"|"V7487V"|"2"|"7"|"3"|"2"|"4"|"7"|"7"|"53931"|"5"
"625"|"B770O"|"R&D"|"X3607X"|"7"|"3"|"7"|"7"|"7"|"5"|"4"|"91154"|"3"
"626"|"E527E"|"R&D"|"Z2464Y"|"3"|"2"|"4"|"4"|"5"|"4"|"4"|"65944"|"8"
"627"|"I849W"|"R&D"|"Y3553W"|"2"|"7"|"4"|"4"|"4"|"7"|"7"|"46945"|"3"
"628"|"U866O"|"R&D"|"X8066X"|"5"|"1"|"6"|"7"|"7"|"2"|"2"|"46570"|"4"
"629"|"V670X"|"Health"|"W8102W"|"4"|"2"|"5"|"5"|"6"|"4"|NA|"56559"|"5"
"630"|"S845N"|"Finance"|"Y7685W"|"6"|"1"|"7"|"7"|"7"|"2"|"2"|"53190"|"2"
"631"|"E566Z"|"R&D"|"V4497X"|"2"|"7"|"4"|"4"|"4"|"7"|NA|"48068"|"1"
"632"|"D562M"|"Finance"|"Y9641W"|"7"|"5"|"7"|"7"|"7"|"7"|"6"|"52468"|"7"
"633"|"S913D"|"R&D"|"Y3553W"|"5"|"1"|"6"|"7"|"7"|"2"|"4"|"75386"|"8"
"634"|"Y780P"|"Finance"|"Y4468Y"|"1"|"3"|"2"|"3"|"3"|"5"|"5"|"52061"|"0"
"635"|"L359O"|"R&D"|"V4497X"|"4"|"4"|"6"|"5"|"6"|"5"|"5"|"46704"|"5"
"636"|"B777Z"|"Ethics"|"W2205Z"|"3"|"4"|"5"|"4"|"4"|"5"|"6"|"75328"|"10"
"637"|"R141B"|"Finance"|"Y4468Y"|"3"|"4"|"5"|"4"|"4"|"5"|NA|"55734"|"2"
"638"|"O417S"|"Health"|"V7487V"|"4"|"3"|"6"|"6"|"5"|"5"|"6"|"102997"|"8"
"639"|"Z583U"|"Health"|"V7487V"|"5"|"6"|"7"|"6"|"6"|"7"|"7"|"51082"|"4"
"640"|"S979E"|"Finance"|"Y4468Y"|"2"|"3"|"3"|"3"|"3"|"4"|"4"|"133185"|"8"
"641"|"B706E"|"Health"|"W8102W"|"2"|"7"|"4"|"3"|"4"|"7"|"7"|"54173"|"5"
"642"|"H572I"|"R&D"|"X8066X"|"7"|"4"|"7"|"7"|"7"|"6"|NA|"55915"|"5"
"643"|"F135I"|"R&D"|"V4497X"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"55925"|"3"
"644"|"D332N"|"R&D"|"Y3553W"|"1"|"4"|"3"|"2"|"2"|"5"|"6"|"56342"|"6"
"645"|"I386X"|"Ethics"|"X8022Z"|"7"|"4"|"7"|"7"|"7"|"5"|"6"|"165990"|"8"
"646"|"H675A"|"Ethics"|"X8022Z"|"6"|"2"|"6"|"7"|"7"|"3"|"4"|"144303"|"0"
"647"|"X854E"|"Ethics"|"W7742X"|"5"|"7"|"7"|"6"|"6"|"7"|NA|"57143"|"5"
"648"|"W689I"|"Health"|"V7487V"|"1"|"5"|"2"|"3"|"3"|"6"|"6"|"95028"|"9"
"649"|"D212L"|"Finance"|"Y7685W"|"5"|"7"|"7"|"6"|"7"|"7"|"7"|"55007"|"7"
"650"|"C144I"|"Health"|"Z4101Z"|"2"|"3"|"3"|"4"|"3"|"5"|"5"|"46673"|"7"
"651"|"X411C"|"Finance"|"Y4468Y"|"4"|"6"|"5"|"6"|"5"|"7"|"7"|"134582"|"2"
"652"|"T346N"|"R&D"|"Z2464Y"|"5"|"1"|"6"|"6"|"7"|"2"|"3"|"48052"|"7"
"653"|"M239R"|"Health"|"W8102W"|"1"|"4"|"3"|"3"|"3"|"5"|"6"|"46891"|"7"
"654"|"D179F"|"Finance"|"X7645X"|"2"|"6"|"3"|"3"|"3"|"7"|"7"|"143948"|"4"
"655"|"C979O"|"R&D"|"X8066X"|"4"|"5"|"6"|"5"|"5"|"7"|"7"|"91196"|"8"
"656"|"U274T"|"DSI"|"V8472W"|"7"|"2"|"7"|"7"|"7"|"4"|NA|"49540"|"7"
"657"|"M100S"|"R&D"|"X3607X"|"4"|"3"|"7"|"7"|"6"|"5"|"5"|"54817"|"2"
"658"|"J858I"|"Finance"|"Z7298V"|"1"|"1"|"3"|"2"|"2"|"3"|"3"|"71256"|"9"
"659"|"E143H"|"Finance"|"Y7685W"|"3"|"5"|"4"|"5"|"5"|"7"|"7"|"104705"|"4"
"660"|"W239Q"|"Health"|"V7487V"|"3"|"7"|"5"|"4"|"4"|"7"|NA|"78503"|"8"
"661"|"V880E"|"DSI"|"V8472W"|"6"|"2"|"7"|"7"|"7"|"3"|"4"|"79688"|"6"
"662"|"A907P"|"Finance"|"X7645X"|"3"|"3"|"4"|"4"|"4"|"5"|"4"|"53961"|"0"
"663"|"M489C"|"Health"|"W8102W"|"4"|"2"|"5"|"6"|"6"|"4"|"4"|"85510"|"9"
"664"|"S997J"|"Ethics"|"W2205Z"|"2"|"4"|"4"|"3"|"3"|"6"|"6"|"59970"|"5"
"665"|"N198N"|"Ethics"|"W2205Z"|"5"|"6"|"6"|"7"|"6"|"7"|"7"|"118262"|"8"
"666"|"K626O"|"DSI"|"V8472W"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"61356"|"4"
"667"|"Y914Y"|"R&D"|"X3607X"|"4"|"3"|"6"|"6"|"5"|"4"|"4"|"127911"|"6"
"668"|"D647A"|"Health"|"Z4101Z"|"3"|"2"|"4"|"5"|"5"|"4"|"4"|"52570"|"2"
"669"|"N601F"|"Finance"|"Y9641W"|"7"|"1"|"7"|"7"|"7"|"3"|"3"|"72204"|"10"
"670"|"A613N"|"Ethics"|"X8022Z"|"2"|"7"|"3"|"3"|"3"|"7"|NA|"56869"|"6"
"671"|"N382Y"|"Finance"|"Z7298V"|"3"|"4"|"5"|"4"|"4"|"6"|"5"|"49729"|"2"
"672"|"Y158P"|"Health"|"V7487V"|"5"|"2"|"6"|"6"|"7"|"3"|"3"|"48303"|"6"
"673"|"N838A"|"Ethics"|"W2205Z"|"3"|"4"|"5"|"5"|"5"|"6"|"5"|"166534"|"8"
"674"|"K592Z"|"Ethics"|"W7742X"|"2"|"3"|"3"|"3"|"4"|"4"|"4"|"74889"|"10"
"675"|"B545J"|"Health"|"V7487V"|"5"|"2"|"7"|"6"|"6"|"4"|"3"|"56640"|"5"
"676"|"B839G"|"Finance"|"Y7685W"|"7"|"6"|"7"|"7"|"7"|"7"|NA|"139905"|"10"
"677"|"R174J"|"Finance"|"Y9641W"|"5"|"7"|"5"|"6"|"7"|"7"|NA|"49139"|"6"
"678"|"R386G"|"R&D"|"X8066X"|"1"|"6"|"2"|"3"|"2"|"7"|"7"|"106354"|"8"
"679"|"K285H"|"R&D"|"Z2464Y"|"1"|"6"|"3"|"2"|"2"|"7"|"7"|"54451"|"5"
"680"|"X487T"|"Finance"|"Y7685W"|"3"|"6"|"3"|"4"|"4"|"7"|"7"|"45542"|"1"
"681"|"X534B"|"Health"|"Z4101Z"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"62136"|"9"
"682"|"J784G"|"Finance"|"Y4468Y"|"2"|"6"|"5"|"3"|"4"|"7"|"7"|"71883"|"8"
"683"|"J506G"|"Finance"|"Y7685W"|"3"|"6"|"5"|"5"|"4"|"7"|"7"|"73519"|"10"
