"X","aspectsRecog","aspectsSubst","aspectsAdvance","aspectsComp","aspectsControlAmount","aspectsControlHow","aspectsRelations","aspectsSecurity","aspectsRespons","aspectsTasks","aspectsChallenge","aspectsSkill","aspectsTravel","aspectsEval","aspectsBalance","lifeSatIdeal","lifeSatExcellent","lifeSatHappy","lifeSatThings","lifeSatChange","lifeSatRespect","lifeSatFamily","lifeSatFaith","lifeSatHelp","age","gradNY","big4Frst","gender","salary","edu_under_3_TEXT","children","totalYrsWorked","totalYrsWorkedBig","gradNonLawNY","gradLaw","big4Now","empStatus","big4Ever","yearGroup","jobSatScore","lifeSatScore","yearsWorkedGroups","salaryContrasts","partTimeDummy"
1211,"Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Dissatisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither disagree nor agree","Agree","Strongly agree","Neither disagree nor agree","Disagree",36,"Yes","Yes","Male","$300,000-$499,999",2000,0.5,2,2,"1","0",0,"Employed full time","Yes","1980+",-0.22473804482061,-1.93916305407296,"Less than 15","$300,000-$499,999",0
1213,"Satisfied","Somewhat dissatisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Somewhat dissatisfied","Satisfied","Somewhat disagree","Agree","Somewhat agree","Somewhat disagree","Neither disagree nor agree","Strongly agree","Strongly agree","Agree","Agree",23,"No","Yes","Female","$50,000-$59,000",2013,0,1,1,"0","0",1,"Employed full time","Yes","1980+",-0.664162578920699,-0.960024839436027,"Less than 15","$50,000-$59,000",0
1214,"Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Satisfied","Somewhat dissatisfied","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Neither disagree nor agree",56,"No","Yes","Male","$300,000-$499,999",1980,2,34,2,"0","0",0,"Employed full time","Yes","1980+",0.605788543962951,-0.194793067093395,"More than 20","$300,000-$499,999",0
1215,"Somewhat satisfied","Highly satisfied","Dissatisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly dissatisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Somewhat disagree",38,"Yes","Yes","Male","$150,000-$199,999",1998,2,14,4,"1","0",0,"Employed full time","Yes","1980+",-0.402302060733201,0.496725893403519,"Less than 15","$150,000-$199,999",0
1216,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Neither disagree nor agree","Somewhat agree",66,"Yes","Yes","Male","$300,000-$499,999",1970,2,12,5,"1","0",0,"Employed part time","Yes",,1.20100475561395,0.907847830829699,"Less than 15","$300,000-$499,999",1
1217,"Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree",35,"No","Yes","Male","$100,000-$119,999",2001,2,9,4,"0","0",0,"Employed full time","Yes","1980+",1.00164161521913,0.966171940996916,"Less than 15","$100,000-$119,999",0
1218,"Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Somewhat agree",37,"Yes","No","Female","$90,000-$99,000",1999,2,15,0,"1","0",0,"Employed full time","No","1980+",1.06194490176054,0.623318796360197,"15 to 20","$90,000-$99,000",0
1219,"Dissatisfied","Dissatisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Somewhat dissatisfied","Dissatisfied","Dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Highly dissatisfied","Highly dissatisfied","Neither disagree nor agree","Neither disagree nor agree","Somewhat agree","Somewhat agree","Neither disagree nor agree","Agree","Strongly agree","Neither disagree nor agree","Neither disagree nor agree",24,"No","Yes","Male","Less than $50,000",2012,0,2,2,"0","0",1,"Employed full time","Yes","1980+",-3.06278141741416,-1.00293831612107,"Less than 15","Less than $50,000",0
1220,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Neither disagree nor agree","Neither disagree nor agree",43,"No","No","Female","$200,000-$299,999",1993,0,12,0,"0","0",0,"Employed full time","No","1980+",0.0280675211747378,-0.16261651022074,"Less than 15","$200,000-$299,999",0
1221,"Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Disagree","Somewhat agree","Agree","Somewhat agree","Disagree","Agree","Agree","Agree","Somewhat disagree",31,"No","No","Male","$70,000-$79,000",2005,0,8,0,"0","0",0,"Employed full time","No","1980+",-0.945307094278113,-1.03509492742768,"Less than 15","$70,000-$79,000",0
1222,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Somewhat agree",44,"No","No","Male","$60,000-$69,000",1993,0,21,0,"0","0",0,"Employed full time","No","1980+",1.20100475561395,1.11293524709672,"More than 20","$60,000-$69,000",0
1223,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Agree",54,"No","Yes","Female","$100,000-$119,999",1982,2,22,4,"0","0",0,"Employed full time","Yes","1980+",1.14011183658215,-0.303079542587505,"More than 20","$100,000-$119,999",0
1225,"Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Somewhat disagree","Agree",26,"Yes","Yes","Female","$50,000-$59,000",2010,0,3,3,"1","0",0,"Employed full time","Yes","1980+",0.711835219496656,0.830451995153187,"Less than 15","$50,000-$59,000",0
1226,"Highly satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Somewhat disagree",40,"No","Yes","Male","$200,000-$299,999",1995,3,19,7,"0","0",0,"Employed full time","Yes","1980+",-0.821616906734777,0.479662262410932,"15 to 20","$200,000-$299,999",0
1229,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Neither disagree nor agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither disagree nor agree","Agree","Agree","Agree","Agree",56,"Yes","Yes","Male","Less than $50,000",1980,0,3,3,"0","1",0,"Employed part time","Yes","1980+",-0.485207051691428,-1.4501157474055,"Less than 15","Less than $50,000",1
1231,"Satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Somewhat agree","Disagree",48,"No","Yes","Female","$150,000-$199,999",1988,2,23,5,"0","0",0,"Employed full time","Yes","1980+",0.184811788154628,0.436586275229115,"More than 20","$150,000-$199,999",0
1232,"Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat agree","Somewhat agree","Strongly agree","Agree","Somewhat agree","Agree","Strongly agree","Strongly agree","Somewhat agree",30,"Yes","Yes","Male","$90,000-$99,000",2006,0,7,7,"1","0",1,"Employed full time","Yes","1980+",-0.794708795368674,0.128502354770875,"Less than 15","$90,000-$99,000",0
1233,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Somewhat agree",49,"No","Yes","Male","$1,000,000-$2,999,999",1987,3,27,27,"0","0",1,"Employed full time","Yes","1980+",1.1185444311498,0.559798730803045,"More than 20","$1,000,000-$2,999,999",0
1234,"Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Neither disagree nor agree","Somewhat disagree",37,"No","No","Male","$120,000-$149,999",2000,1,14,0,"0","0",0,"Employed full time","No","1980+",0.363706411669928,0.450425461322718,"Less than 15","$120,000-$149,999",0
1236,"Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Highly satisfied","Dissatisfied","Dissatisfied","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Disagree",36,"Yes","Yes","Male","$500,000-$799,999",2000,2,14,6,"1","0",0,"Employed full time","Yes","1980+",-0.763605791033424,-0.132925156656274,"Less than 15","$500,000-$799,999",0
1237,"Highly satisfied","Somewhat dissatisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Satisfied","Dissatisfied","Dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Disagree","Disagree",23,"No","Yes","Male","Less than $50,000",2014,0,0,0,"0","0",1,"Employed full time","Yes","1980+",-1.8903838281509,0.671538875475112,"Less than 15","Less than $50,000",0
1238,"Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat agree","Somewhat agree","Agree","Agree","Neither disagree nor agree","Somewhat agree","Neither disagree nor agree","Somewhat disagree","Disagree",35,"Yes","Yes","Male","$200,000-$299,999",2001,0,2,2,"1","0",1,"Employed full time","Yes","1980+",-0.00776071284468106,-0.409976150150025,"Less than 15","$200,000-$299,999",0
1239,"Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Dissatisfied","Dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Disagree","Disagree","Disagree","Disagree","Disagree","Somewhat agree","Agree","Somewhat disagree","Somewhat agree",23,"No","Yes","Female","$50,000-$59,000",2013,0,1,1,"0","0",1,"Employed full time","Yes","1980+",-2.50144716230431,-3.12908153944786,"Less than 15","$50,000-$59,000",0
1241,"Highly dissatisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Highly dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Agree","Agree","Strongly agree","Strongly agree","Agree","Neither disagree nor agree","Strongly agree","Disagree","Disagree",33,"No","Yes","Male","$120,000-$149,999",2003,3,10,8,"0","0",0,"Employed full time","Yes","1980+",-1.17345028592895,0.505021293040536,"Less than 15","$120,000-$149,999",0
1242,"Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Highly satisfied","Dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Somewhat satisfied","Satisfied","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Somewhat agree",56,"No","No","Male","$500,000-$799,999",1980,3,31,0,"0","0",0,"Employed part time","No","1980+",-1.82921689928465,0.589819378391077,"More than 20","$500,000-$799,999",1
1243,"Satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Disagree","Agree","Somewhat agree","Somewhat agree","Disagree","Somewhat agree","Strongly agree","Strongly agree","Neither disagree nor agree",23,"No","Yes","Female","Less than $50,000",2014,0,0,0,"0","0",1,"Employed full time","Yes","1980+",-0.294231831593027,-1.09572233956284,"Less than 15","Less than $50,000",0
1245,"Somewhat satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Strongly agree","Agree","Somewhat agree",25,"No","Yes","Male","$50,000-$59,000",2012,0,2,2,"0","0",0,"Employed full time","Yes","1980+",-0.345718347055229,-0.443468284609853,"Less than 15","$50,000-$59,000",0
1246,"Satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat dissatisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat agree","Agree","Agree","Somewhat disagree","Somewhat disagree",26,"No","Yes","Female","$70,000-$79,000",2010,0,4,4,"0","0",1,"Employed full time","Yes","1980+",-0.168839455591419,-0.232881495285879,"Less than 15","$70,000-$79,000",0
1247,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Highly satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Highly satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Disagree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Neither disagree nor agree","Agree","Disagree","Neither disagree nor agree",31,"Yes","No","Female","$90,000-$99,000",2005,0,7,0,"1","0",0,"Employed full time","No","1980+",-2.36598389254226,-2.73903339691167,"Less than 15","$90,000-$99,000",0
1248,"Neither dissatisfied nor satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Highly dissatisfied","Somewhat satisfied","Agree","Strongly agree","Agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree",51,"No","Yes","Male","$500,000-$799,999",1986,3,26,20,"0","0",1,"Employed full time","Yes","1980+",-0.253249894065685,0.525579292085526,"More than 20","$500,000-$799,999",0
1249,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree",53,"Yes","Yes","Male","$300,000-$499,999",1984,2,29,4,"1","0",0,"Employed full time","Yes","1980+",1.08281173594186,1.13377497355691,"More than 20","$300,000-$499,999",0
1250,"Somewhat satisfied","Somewhat satisfied","Dissatisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Dissatisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Disagree","Somewhat agree","Neither disagree nor agree","Somewhat disagree","Strongly disagree","Neither disagree nor agree","Somewhat agree","Strongly disagree","Strongly disagree",27,"Yes","Yes","Male","$70,000-$79,000",2009,0,5,4,"1","0",0,"Employed full time","Yes","1980+",-1.39259776139523,-2.07807447058336,"Less than 15","$70,000-$79,000",0
1251,"Satisfied","Satisfied","Satisfied","Somewhat satisfied","Dissatisfied","Somewhat satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Dissatisfied","Somewhat dissatisfied","Highly dissatisfied","Neither disagree nor agree","Somewhat agree","Somewhat agree","Agree","Somewhat disagree","Agree","Strongly agree","Neither disagree nor agree","Neither disagree nor agree",35,"Yes","No","Male","$70,000-$79,000",2002,1,11,0,"1","0",0,"Employed full time","No","1980+",-0.889746847181573,-0.723391919280868,"Less than 15","$70,000-$79,000",0
1252,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Disagree","Somewhat agree","Strongly agree","Strongly disagree","Disagree",26,"No","Yes","Female","$80,000-$89,000",2010,0,2,2,"0","0",0,"Employed full time","Yes","1980+",0.0656563049780237,-2.11430242948701,"Less than 15","$80,000-$89,000",0
1253,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree",25,"Yes","No","Male","Less than $50,000",2013,0,4,1,"1","0",1,"Employed full time","Yes","1980+",0.126549224009832,0.30796564412007,"Less than 15","Less than $50,000",0
1254,"Somewhat satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat agree","Agree","Agree","Agree","Somewhat disagree","Agree","Strongly agree","Neither disagree nor agree","Neither disagree nor agree",30,"No","No","Male","$100,000-$119,999",2006,1,5,0,"0","0",0,"Employed full time","No","1980+",-0.522554534989734,-0.0760692119656524,"Less than 15","$100,000-$119,999",0
1255,"Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat disagree","Somewhat agree","Strongly agree","Agree","Somewhat disagree",48,"No","Yes","Male","$300,000-$499,999",1988,4,26,7,"0","0",0,"Employed full time","Yes","1980+",0.481751403735981,-0.31604785055438,"More than 20","$300,000-$499,999",0
1256,"Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Disagree","Somewhat agree","Agree","Agree","Somewhat disagree",24,"No","Yes","Male","$50,000-$59,000",2013,0,1,1,"0","0",1,"Employed full time","Yes","1980+",-0.19740424584485,-0.527882715026565,"Less than 15","$50,000-$59,000",0
1257,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Agree","Neither disagree nor agree",36,"Yes","Yes","Male","$120,000-$149,999",2001,2,12,5,"1","0",0,"Employed full time","Yes","1980+",-0.887510495562782,-0.0433277233304717,"Less than 15","$120,000-$149,999",0
1259,"Highly satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Somewhat agree",49,"Yes","Yes","Female","$500,000-$799,999",1987,3,24,3,"1","0",0,"Employed part time","Yes","1980+",0.624157580523461,0.464199175609161,"More than 20","$500,000-$799,999",1
1261,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Somewhat agree",43,"Yes","No","Male","$300,000-$499,999",1993,2,21,0,"1","0",0,"Employed full time","No","1980+",0.458300713218226,0.5196783401532,"More than 20","$300,000-$499,999",0
1262,"Dissatisfied","Somewhat satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Dissatisfied","Somewhat satisfied","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Agree","Agree","Agree",34,"No","No","Female","$90,000-$99,000",2002,0,10,1,"0","0",0,"Employed full time","Yes","1980+",-1.98814458438386,-1.02845609921548,"Less than 15","$90,000-$99,000",0
1263,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Agree",45,"No","Yes","Male","$300,000-$499,999",1991,4,23,5,"0","0",0,"Employed full time","Yes","1980+",0.126549224009832,0.258389209896564,"More than 20","$300,000-$499,999",0
1264,"Somewhat satisfied","Highly satisfied","Satisfied","Somewhat dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Disagree","Agree","Strongly agree","Strongly disagree","Agree",31,"Yes","No","Female","$50,000-$59,000",2006,0,5,0,"1","0",0,"Employed full time","No","1980+",-0.0223276944215438,-0.456465920693924,"Less than 15","$50,000-$59,000",0
1265,"Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Satisfied","Somewhat satisfied","Somewhat disagree","Somewhat agree","Agree","Agree","Neither disagree nor agree","Strongly agree","Strongly agree","Strongly agree","Agree",23,"No","Yes","Female","Less than $50,000",2014,0,0,0,"0","0",1,"Employed full time","Yes","1980+",-0.114387826165064,-0.493109798822842,"Less than 15","Less than $50,000",0
1266,"Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Disagree","Somewhat disagree",30,"Yes","Yes","Male","$100,000-$119,999",2006,0,7,3,"1","0",0,"Employed full time","Yes","1980+",-1.00516775406291,-0.653065889689113,"Less than 15","$100,000-$119,999",0
1267,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree",37,"Yes","Yes","Male","$300,000-$499,999",1998,2,15,5,"1","0",0,"Employed full time","Yes","1980+",1.20100475561395,1.17084391751062,"15 to 20","$300,000-$499,999",0
1268,"Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree",41,"Yes","Yes","Male","$100,000-$119,999",2001,1.5,12,2,"1","0",0,"Employed full time","Yes","1980+",-2.02236183919841,1.17084391751062,"Less than 15","$100,000-$119,999",0
